pro_id,area,young,adult,old,total
01,2964.55779019884,19016,179496,125381,323893
02,14939.4100378957,47288,187949,159556,394793
03,5826.42663839077,234875,910283,697024,1842182
04,8791.29079496463,93737,358727,256735,709199
05,8058.19278095503,29903,87124,45863,162890
06,21799.9865895693,105053,356012,230157,691222
07,4989.22420016518,131916,587718,404453,1124087
08,7736.83727623671,719222,2878624,1934237,5532083
09,14052.1133380773,55185,186014,116513,357712
10,19894.2042207263,71973,210490,120876,403339
11,7451.05405845679,205085,650193,391093,1246371
12,6640.28938821454,87924,307133,188582,583639
13,19841.3397857418,81619,276872,158659,517150
14,13793.7081201861,122059,411774,267103,800936
15,7953.97933381569,177035,595974,350507,1123516
16,17160.4582705156,35973,108496,57797,202266
17,5913.74813341531,131326,404710,223976,760012
18,12669.801277085,174097,488481,242927,905505
19,12179.2963346968,44547,142422,71695,258664
20,1907.90368977081,136353,406490,166086,708929
21,10145.519635404,93294,275832,157970,527096
22,15640.7865409212,40862,119765,63606,224233
23,13510.9070999012,121624,346722,181359,649705
24,15581.8613213174,88233,258440,124707,471380
25,12181.9768957189,81640,220169,124503,426312
26,5030.88308023627,65858,178229,71137,315224
27,9862.80598552094,73700,183087,81513,338300
28,8038.90715037785,1303996,3472625,1578053,6354674
29,7322.70006834235,314711,896560,421935,1633206
30,11331.2973114329,301514,832416,336567,1470497
31,9613.36995415619,132956,349930,155419,638305
32,7279.79160550856,74827,174791,65080,314698
33,10606.0605083705,208855,567850,256261,1032966
34,8055.86177457438,27451,84810,52667,164928
35,4065.62924670407,252764,582877,265769,1101410
36,4492.00080834781,188484,518709,246857,954050
37,12361.2146090213,79699,180098,67290,327087
38,3387.46388371043,246207,556075,201924,1004206
39,5258.89155498457,141085,328815,121793,591693
40,6801.53690326267,38512,87913,26966,153391
41,14060.6902394782,537409,1118374,275660,1931443
42,10311.0364070309,21263,48106,15893,85262
43,6309.76711039776,203788,451749,146147,801684
44,14812.1040605624,33933,75101,23156,132190
45,15387.5077403464,189209,429210,102917,721336
46,10822.3883900596,686717,1445519,395087,2527323
47,8117.1381923714,148887,294791,73782,517460
48,2208.73172188803,303346,674392,146121,1123859
49,10569.5625543734,46830,107303,27551,181684
50,17288.1458141773,141135,444430,361959,947524
51,19.3327431039314,9921,47409,26461,83791
52,13.2688390877522,3520,50220,30835,84575
